"title","tokens","n","total","tf","idf","tf_idf"
"Plant Manager","manager",15,2654,0.00565184626978146,1.05749719919632,0.00597681160058204
"Practice Manager","management",15,1960,0.0076530612244898,0.547311166114104,0.00418860586311815
"Quality Assurance Manager","control",15,4509,0.00332667997338656,1.76157345028845,0.00586019111872405
"Quality Control Manager","control",15,1217,0.0123253903040263,1.76157345028845,0.0217120803240154
"Quality Manager","control",15,3665,0.00409276944065484,1.76157345028845,0.00720971398480948
"Shift Manager","management",15,3032,0.00494722955145119,0.547311166114104,0.00270767397483891
"Structural Construction Quality Control Manager","control",15,571,0.0262697022767075,1.76157345028845,0.0462760100776301
"Branch Manager","manage",14,8910,0.0015712682379349,1.32034111832166,0.00207461006245827
"Digital Marketing Manager","manager",14,3057,0.00457965325482499,1.05749719919632,0.00484297049026772
"Director of Asset Management","management",14,885,0.015819209039548,0.547311166114104,0.00865802974643781
"Financial and Administrative Services Manager","management",14,1690,0.00828402366863905,0.547311166114104,0.00453393865419968
"Front Office Manager","manage",14,4248,0.00329566854990584,1.32034111832166,0.00435140669880018
"General Manager","administration",14,25342,0.0005524425854313,1.99169019129548,0.00110029447865744
"General Manager","direction",14,25342,0.0005524425854313,2.12185633560338,0.00117220379995452
"Hotel General Manager","management",14,1018,0.0137524557956778,0.547311166114104,0.00752687261846509
"Human Resources Director","management",14,1616,0.00866336633663366,0.547311166114104,0.00474155713217665
"Knowledge Management Specialist","management",14,740,0.0189189189189189,0.547311166114104,0.0103545355751317
"Manager","manage",14,7613,0.00183895967424143,1.32034111832166,0.00242805407283636
"Manager-in-Training","manager",14,996,0.0140562248995984,1.05749719919632,0.0148644184625988
"Manager of Performance Testing","management",14,1250,0.0112,0.547311166114104,0.00612988506047797
"Meat Specialist","manager",14,1246,0.0112359550561798,1.05749719919632,0.0118819910022058
"Office Manager","leadership",14,8392,0.00166825548141087,1.49578409994796,0.00249535002374541
"Procurement Manager","management",14,1079,0.0129749768303985,0.547311166114104,0.0071013496993489
"Production Supervisor","lead",14,10124,0.00138285262741999,1.58216498828802,0.00218790101106601
"Production Supervisor","leadership",14,10124,0.00138285262741999,1.49578409994796,0.00206844897266609
"Production Supervisor","manage",14,10124,0.00138285262741999,1.32034111832166,0.00182583718456175
"Property Management Assistant","management",14,969,0.0144478844169247,0.547311166114104,0.00790748846810884
"Property Manager","manager",14,2865,0.00488656195462478,1.05749719919632,0.00516752558071498
"Senior Software Engineer","management",14,2925,0.00478632478632479,0.547311166114104,0.00261960900020426
"Structural Quality Control Manager","control",14,568,0.0246478873239437,1.76157345028845,0.0434190639155604
"Accounting Assistant","management",13,2556,0.00508607198748044,0.547311166114104,0.0027836639904082
"Assistant Lead Case Manager (Bilingual)","manager",13,888,0.0146396396396396,1.05749719919632,0.0154813779161623
"Automotive Service Manager","manager",13,778,0.0167095115681234,1.05749719919632,0.0176702616832289
"Branch Manager Trainee","management",13,1280,0.01015625,0.547311166114104,0.00555862903084637
"Category Manager","management",13,1750,0.00742857142857143,0.547311166114104,0.00406574009113335
"Chief Operating Officer","management",13,907,0.0143329658213892,0.547311166114104,0.00784459223757812
"Construction Manager","management",13,1344,0.00967261904761905,0.547311166114104,0.00529393241032988
"Coordinator Periop Analyst","manager",13,848,0.0153301886792453,1.05749719919632,0.0162116315914529
"Development Manager","management",13,1827,0.00711548987411056,0.547311166114104,0.00389438706047255
"Industrial Engineer","management",13,1965,0.00661577608142494,0.547311166114104,0.00362088812187448
"Inventory Control Supervisor","control",13,1559,0.00833867864015394,1.76157345028845,0.0146891949029826
"IT Manager","manage",13,3312,0.00392512077294686,1.32034111832166,0.00518249835090022
"Maintenance Supervisor","leadership",13,6183,0.00210253922044315,1.49578409994796,0.00314494473545585
"Office Administrator","management",13,5254,0.0024743052912067,0.547311166114104,0.00135421491425264
"Portfolio Administrator","management",13,1171,0.0111016225448335,0.547311166114104,0.00607604198077144
"Project Manager (Bioanalytical), Scientific Operations REMOTE","management",13,598,0.0217391304347826,0.547311166114104,0.0118980688285675
"Quality Manager","manager",13,3665,0.00354706684856753,1.05749719919632,0.00375101325772226
"Recruiter","manage",13,3814,0.00340849501835343,1.32034111832166,0.00450037612432657
"Scheduler","manager",13,2119,0.00613496932515337,1.05749719919632,0.006487712878505
"Senior Manager","management",13,625,0.0208,0.547311166114104,0.0113840722551734
"Senior Project Manager","manager",13,2393,0.00543251149185123,1.05749719919632,0.00574486568723447
"Senior Systems Engineer","management",13,2109,0.00616405879563774,0.547311166114104,0.0033736582074364
"Service Manager","management",13,6344,0.00204918032786885,0.547311166114104,0.00112153927482398
"Shift Leader","management",13,2799,0.00464451589853519,0.547311166114104,0.00254199541246279
"System Administrator","administration",13,3443,0.00377577693871624,1.99169019129548,0.00752017789336081
"System Administrator","administrator",13,3443,0.00377577693871624,3.20301296746015,0.0120938624969451
"Technical Project Manager","manage",13,3756,0.00346112886048988,1.32034111832166,0.00456987075031457
"VP, Chief Risk & Assurance Officer","management",13,765,0.0169934640522876,0.547311166114104,0.00930071262677563
"2019-1735","management",12,730,0.0164383561643836,0.547311166114104,0.00899689588132774
"Accounting Manager / Senior Accounting Manager","manager",12,966,0.0124223602484472,1.05749719919632,0.0131366111701406
"Area Manager","management",12,2312,0.00519031141868512,0.547311166114104,0.00284071539505591
"Assistant Lead Case Manager (Bilingual)","lead",12,888,0.0135135135135135,1.58216498828802,0.0213806079498381
"Business Development Manager","power",12,5556,0.00215982721382289,2.14814892998457,0.0046396305183252
"Customer Facing Strategy and Operations Lead, Hospital NA","lead",12,968,0.012396694214876,1.58216498828802,0.0196136155572895
"Digital Marketing Manager","lead",12,3057,0.00392541707556428,1.58216498828802,0.00621065746138575
"District Manager","leadership",12,5225,0.00229665071770335,1.49578409994796,0.00343529362667475
"Finance Manager","management",12,2787,0.00430570505920344,0.547311166114104,0.00235656045689604
"Front Desk Supervisor","management",12,1969,0.00609446419502285,0.547311166114104,0.00333556830541862
"Front Office Manager","management",12,4248,0.00282485875706215,0.547311166114104,0.00154607674043532
"Housekeeping Supervisor","management",12,4740,0.00253164556962025,0.547311166114104,0.00138559788889647
"Internal Control Director - East Brunswick, NJ","control",12,403,0.0297766749379653,1.76157345028845,0.0524538000085891
